IQR Factor,Batch Size,Learning Rate,Max Iters,Momentum,Mean Train MSE,Mean Validation MSE,Test MSE,Convergence Speed
1.5,16,0.05,100000.0,0.0,14.888,17.802,11.121,5.3535
1.5,16,0.05,100000.0,0.5,14.908,17.009,11.101,5.3906
1.5,16,0.05,100000.0,0.9,14.926,16.9,11.297,5.3441
1.5,16,0.1,10000.0,0.0,16.688,19.769,13.53,0.5384
1.5,16,0.1,10000.0,0.5,16.686,19.306,13.88,0.5627
1.5,16,0.1,10000.0,0.9,17.298,21.831,13.501,0.5339
1.5,16,0.1,40000.0,0.0,15.195,17.713,11.584,2.1946
1.5,16,0.1,40000.0,0.5,15.211,17.927,12.457,2.1319
1.5,16,0.1,40000.0,0.9,15.219,18.027,12.153,2.1293
1.5,16,0.1,100000.0,0.0,13.485,15.734,10.046,5.3408
1.5,16,0.1,100000.0,0.5,13.521,15.656,9.843,5.3799
1.5,16,0.1,100000.0,0.9,13.466,15.827,9.641,5.8381
1.5,16,0.5,10000.0,0.0,15.16,18.79,10.861,0.5366
1.5,16,0.5,10000.0,0.5,14.967,18.035,11.025,0.6607
1.5,16,0.5,10000.0,0.9,15.307,16.53,10.933,0.5424
1.5,16,0.5,40000.0,0.0,11.821,14.907,8.36,2.1888
1.5,16,0.5,40000.0,0.5,11.823,14.554,8.027,2.1768
1.5,16,0.5,40000.0,0.9,11.911,14.28,8.065,2.1452
1.5,16,0.5,100000.0,0.0,10.552,14.598,6.936,5.5014
1.5,16,0.5,100000.0,0.5,10.729,14.97,6.617,5.7339
1.5,16,0.5,100000.0,0.9,10.469,13.497,7.393,5.5645
1.5,16,0.7,10000.0,0.0,16.937,16.461,12.26,0.5364
1.5,16,0.7,10000.0,0.5,14.336,17.522,11.571,0.6254
1.5,16,0.7,10000.0,0.9,14.251,16.608,11.966,0.5675
1.5,16,0.7,40000.0,0.0,11.415,13.736,7.55,2.2051
1.5,16,0.7,40000.0,0.5,11.186,14.647,6.986,2.1415
1.5,16,0.7,40000.0,0.9,12.788,13.992,7.315,2.1418
1.5,16,0.7,100000.0,0.0,10.77,15.307,6.237,5.431
1.5,16,0.7,100000.0,0.5,10.522,14.891,6.079,5.4282
1.5,16,0.7,100000.0,0.9,10.82,15.401,6.707,5.3341
1.5,32,0.05,10000.0,0.0,17.486,20.098,14.908,0.5402
1.5,32,0.05,10000.0,0.5,17.452,20.777,15.095,0.5543
1.5,32,0.05,10000.0,0.9,17.467,20.799,15.048,0.5454
1.5,32,0.05,40000.0,0.0,16.071,19.181,12.679,2.1606
1.5,32,0.05,40000.0,0.5,16.017,18.511,12.871,2.1673
1.5,32,0.05,40000.0,0.9,16.025,18.365,12.872,2.1869
1.5,32,0.05,100000.0,0.0,14.875,17.079,11.054,5.4307
1.5,32,0.05,100000.0,0.5,14.855,17.236,11.175,5.4762
1.5,32,0.05,100000.0,0.9,14.867,17.118,11.306,5.449
1.5,32,0.1,10000.0,0.0,16.704,19.149,14.436,0.5418
1.5,32,0.1,10000.0,0.5,16.675,19.539,13.731,0.5438
1.5,32,0.1,10000.0,0.9,16.671,19.374,13.768,0.5459
1.5,32,0.1,40000.0,0.0,15.198,17.709,11.691,2.1752
1.5,32,0.1,40000.0,0.5,15.202,17.844,11.79,2.166
1.5,32,0.1,40000.0,0.9,15.212,17.918,11.727,2.1891
1.5,32,0.1,100000.0,0.0,13.449,16.193,9.968,5.4373
1.5,32,0.1,100000.0,0.5,13.518,16.631,9.648,5.4267
1.5,32,0.1,100000.0,0.9,13.451,16.176,9.658,5.4348
1.5,32,0.5,10000.0,0.0,14.996,18.271,11.372,0.5379
1.5,32,0.5,10000.0,0.5,15.226,16.554,11.571,0.5449
1.5,32,0.5,10000.0,0.9,14.937,16.965,11.233,0.5469
1.5,32,0.5,40000.0,0.0,12.114,14.098,8.552,2.1643
1.5,32,0.5,40000.0,0.5,13.753,18.861,8.095,2.172
1.5,32,0.5,40000.0,0.9,11.866,15.112,8.103,2.1739
1.5,32,0.5,100000.0,0.0,10.357,13.389,6.761,5.4169
1.5,32,0.5,100000.0,0.5,10.541,14.546,6.73,5.4362
1.5,32,0.5,100000.0,0.9,10.294,13.603,6.674,5.4275
1.5,32,0.7,10000.0,0.0,14.549,18.208,11.493,0.5464
1.5,32,0.7,10000.0,0.5,14.266,16.448,10.2,0.5624
1.5,32,0.7,10000.0,0.9,14.236,16.734,11.514,0.642
1.5,32,0.7,40000.0,0.0,11.421,13.643,9.442,2.1741
1.5,32,0.7,40000.0,0.5,11.186,14.622,7.737,2.1718
1.5,32,0.7,40000.0,0.9,11.123,14.093,7.71,2.1595
1.5,32,0.7,100000.0,0.0,10.104,14.054,6.447,5.4076
1.5,32,0.7,100000.0,0.5,9.994,13.371,6.305,5.4061
1.5,32,0.7,100000.0,0.9,10.064,13.945,6.427,5.3942
1.5,64,0.05,10000.0,0.0,17.465,20.251,14.991,0.5706
1.5,64,0.05,10000.0,0.5,17.462,20.799,14.972,0.5999
1.5,64,0.05,10000.0,0.9,17.522,21.188,14.976,0.5565
1.5,64,0.05,40000.0,0.0,16.015,18.491,12.53,2.2292
1.5,64,0.05,40000.0,0.5,16.025,18.87,12.659,2.2205
1.5,64,0.05,40000.0,0.9,16.032,18.305,12.774,2.4398
1.5,64,0.05,100000.0,0.0,14.85,17.407,11.109,5.5665
1.5,64,0.05,100000.0,0.5,14.85,17.445,11.398,5.5907
1.5,64,0.05,100000.0,0.9,14.855,17.222,11.299,5.58
1.5,64,0.1,10000.0,0.0,16.713,19.979,13.806,0.5542
1.5,64,0.1,10000.0,0.5,16.713,19.12,13.802,0.5528
1.5,64,0.1,10000.0,0.9,16.68,19.373,13.897,0.5588
1.5,64,0.1,40000.0,0.0,15.2,17.581,12.06,2.2864
1.5,64,0.1,40000.0,0.5,15.211,17.954,11.784,2.2383
1.5,64,0.1,40000.0,0.9,15.248,17.328,11.734,2.2166
1.5,64,0.1,100000.0,0.0,13.448,16.095,9.677,5.5633
1.5,64,0.1,100000.0,0.5,13.449,16.056,9.605,5.6085
1.5,64,0.1,100000.0,0.9,13.46,16.286,9.775,5.5866
1.5,64,0.5,10000.0,0.0,14.892,16.997,11.45,0.5641
1.5,64,0.5,10000.0,0.5,14.848,17.372,11.117,0.5572
1.5,64,0.5,10000.0,0.9,14.902,16.986,11.176,0.5561
1.5,64,0.5,40000.0,0.0,11.813,14.744,7.977,2.2312
1.5,64,0.5,40000.0,0.5,11.835,14.488,7.932,2.2182
